number,equipment_id,start_time,end_time,duration_s,process_id
1,ACA1-4,00:03:20,01:15:20,4320,A1
2,ICM1-2,00:03:20,04:03:20,14400,E1
3,PFM1-5,00:03:20,01:33:20,5400,A1
4,ACA1-2,00:03:50,02:56:38,10368,C1
5,ICM1-4,00:03:50,02:56:38,10368,C1
6,ICM1-5,00:05:10,01:17:10,4320,B1
7,ICM1-3,00:05:55,02:29:55,8640,D1
8,ACA1-3,01:17:10,06:17:10,18000,B2
9,PFM1-4,01:17:10,08:47:10,27000,B2
10,HPM1-1,01:33:20,06:33:20,18000,A2
11,ICM1-1,01:33:20,03:33:20,7200,A2
12,ACA1-4,02:29:55,05:09:55,9600,D2
13,PFM1-2,02:29:55,06:29:55,14400,D2
14,PFM1-5,02:56:38,05:00:04,7406,C2
15,PFM1-3,04:03:20,05:46:12,6172,E2
16,ACA1-2,05:00:04,06:26:28,5184,C3_1
17,PFM1-1,05:00:04,06:48:04,6480,C3_1
18,ASM1-1,05:46:12,07:46:12,7200,E3
19,ICM1-2,05:46:12,11:46:12,21600,E3
20,PFM1-3,06:29:55,07:47:04,4629,D3
21,HPM1-1,06:48:04,10:08:04,12000,C4_1
22,ICM1-4,06:48:04,10:48:04,14400,C4_1
23,PFM1-4,08:47:10,09:48:53,3703,B3
24,ASM1-1,10:12:24,15:12:24,18000,D4
25,HPM1-1,10:12:24,22:42:24,45000,D4
26,ASM1-1,15:16:44,19:16:44,14400,C5_1
27,ACA1-1,19:16:44,20:43:08,5184,C3_2
28,PFM1-4,19:16:44,21:04:44,6480,C3_2
29,ASM1-1,22:42:24,27:42:24,18000,D5
30,HPM1-1,22:46:44,26:06:44,12000,C4_2
31,ICM1-3,22:46:44,26:46:44,14400,C4_2
32,ASM1-1,27:46:44,31:46:44,14400,C5_2
33,ACA1-3,31:46:44,33:13:08,5184,C3_3
34,PFM1-2,31:46:44,33:34:44,6480,C3_3
35,ASM1-1,31:55:54,35:31:54,12960,B4
36,HPM1-1,31:55:54,34:55:54,10800,B4
37,HPM1-1,35:05:04,38:25:04,12000,C4_3
38,ICM1-2,35:05:04,39:05:04,14400,C4_3
39,ASM1-1,35:40:24,40:40:24,18000,A3
40,HPM1-1,38:29:24,45:29:24,25200,D6
41,ASM1-1,40:49:09,44:49:09,14400,C5_3
